"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"40_TUARAR1_25",94.67,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_26",81.33,0,0,0,0,13.33,0,0,0,0,0
"40_TUARAR1_27",100,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_28",96,0,0,0,0,0,0,0,0,0,1.33
"40_TUARAR1_29",98.67,0,0,0,0,0,0,0,0,0,0
"40_TUARAR1_30",90.67,0,0,0,0,2.67,0,0,0,0,0
"40_TUARAR2_1",68,0,0,0,0,25.33,0,0,0,0,4
"40_TUARAR2_2",8,0,0,0,0,2.67,0,0,0,0,21.33
"40_TUARAR2_3",41.33,0,0,0,0,0,2.67,0,0,0,12
"40_TUARAR2_4",64,0,0,0,0,12,0,0,0,0,6.67
"40_TUARAR2_5",30.66,0,0,0,0,4,0,0,0,0,1.33
"40_TUARAR2_6",69.34,0,0,0,0,16,0,0,0,0,4
"40_TUARAR2_7",30.67,0,0,0,0,8,0,0,0,0,6.67
"40_TUARAR2_8",84,0,0,0,0,12,0,0,0,0,0
"40_TUARAR2_9",61.33,0,0,0,0,10.67,0,0,0,0,8
"40_TUARAR2_10",62.67,0,0,0,0,17.33,0,0,0,0,2.67
"40_TUARAR2_11",77.33,0,0,0,0,9.33,0,0,0,0,1.33
"40_TUARAR2_12",77.33,0,0,0,0,0,0,0,0,0,5.33
"40_TUARAR2_13",94.67,0,0,0,0,5.33,0,0,0,0,0
"40_TUARAR2_14",97.33,0,0,0,0,0,0,0,0,0,0
"40_TUARAR2_15",80.01,0,0,0,0,4,0,0,0,1.33,4
"40_TUARAR2_16",38.66,0,0,0,0,22.67,9.33,0,0,0,5.33
"40_TUARAR2_17",74.67,0,0,0,0,16,6.67,0,0,0,0
"40_TUARAR2_18",72.01,0,0,0,0,12,0,0,0,0,0
"40_TUARAR2_19",97.33,0,0,0,0,0,0,0,0,0,0
"40_TUARAR2_20",76,0,0,0,0,6.67,2.67,0,0,0,2.67
"40_TUARAR2_21",92,0,0,0,0,0,0,0,0,0,0
"40_TUARAR2_22",69.33,0,0,0,0,0,0,0,0,0,13.33
"40_TUARAR2_23",37.33,0,0,0,0,20,0,0,0,0,17.33
"40_TUARAR2_24",62.67,0,0,0,0,4,0,0,0,0,20
"40_TUARAR2_25",12,0,0,0,0,6.67,0,0,0,0,22.67
"40_TUARAR2_26",25.33,0,0,0,0,9.33,0,0,0,0,18.67
"40_TUARAR2_27",13.33,0,0,0,0,20,18.67,0,0,0,17.33
"40_TUARAR2_28",9.33,0,0,0,0,2.67,9.33,0,0,0,18.67
"40_TUARAR2_29",66.68,0,0,0,0,1.33,0,0,0,0,9.33
"40_TUARAR2_30",45.33,0,0,0,0,2.66,0,0,0,0,12
"40_TUATIK1_1",36,0,0,0,0,0,1.33,0,0,0,2.67
"40_TUATIK1_2",49.33,0,0,0,0,1.33,2.67,0,0,0,2.67
"40_TUATIK1_3",17.32,0,0,0,1.33,1.33,0,0,0,1.33,9.33
"40_TUATIK1_4",25.33,0,0,0,0,1.33,0,0,0,0,5.33
"40_TUATIK1_5",12,0,0,0,0,12,1.33,0,0,0,16
"40_TUATIK1_6",25.33,0,0,0,0,5.33,0,0,0,0,6.67
"40_TUATIK1_7",2.66,0,0,0,0,4,0,0,0,0,14.67
"40_TUATIK1_8",30.67,0,0,0,0,2.67,0,0,0,0,2.67
"40_TUATIK1_9",2.66,0,0,0,0,0,1.33,2.67,0,0,6.67
"40_TUATIK1_10",17.32,0,0,0,0,1.33,20,0,0,0,34.67
"40_TUATIK1_11",9.33,0,0,0,0,0,0,0,0,0,20
"40_TUATIK1_12",40,0,0,0,0,1.33,1.33,0,0,0,6.67
"40_TUATIK1_13",12,0,0,0,0,2.67,0,0,0,0,14.67
"40_TUATIK1_14",25.33,0,0,0,0,2.67,4,0,0,0,4
"40_TUATIK1_15",22.66,0,0,0,0,5.33,2.67,0,0,0,5.33
"40_TUATIK1_16",45.34,0,0,0,0,0,0,0,0,0,8
"40_TUATIK1_17",21.33,0,0,0,0,5.33,0,0,1.33,0,5.33
"40_TUATIK1_18",25.33,0,0,0,0,14.67,0,0,0,0,5.33
"40_TUATIK1_19",42.67,0,0,0,0,1.33,0,0,0,0,5.33
"40_TUATIK1_20",34.66,0,0,0,0,0,0,1.33,0,0,6.67
"40_TUATIK1_21",25.32,0,0,0,0,0,0,0,0,0,5.33
"40_TUATIK1_22",44,0,0,0,0,1.33,2.67,0,0,0,1.33
"40_TUATIK1_23",54.65,0,0,0,0,0,0,0,0,0,5.33
