"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","CCA","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015","ID","Depth_num","TotPoints","Inc_points","Non_Inc_points","Per_Cover"
"55","Bora_1",20,4,59.99,-16.5031,-151.7907,37.33,0,5.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_4",20,75,45,30,0.5999
"56","Bora_1",20,5,68,-16.5031,-151.7907,76,0,12,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_5",20,75,51,24,0.68
"57","Bora_1",20,6,25.33,-16.5031,-151.7907,68,0,16,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_6",20,75,19,56,0.2533
"58","Bora_1",20,7,44,-16.5031,-151.7907,40,0,22.67,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_7",20,75,33,42,0.44
"59","Bora_1",20,8,27.99,-16.5031,-151.7907,85.33,0,0,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_8",20,75,21,54,0.2799
"60","Bora_1",20,9,60.01,-16.5031,-151.7907,68,0,14.67,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_9",20,75,45,30,0.6001
"61","Bora_1",40,1,23.99,-16.5031,-151.7907,48,4,0,0,-0.379238610612666,-0.241161965794852,0.169706125945572,-1.05359703457364,0.411401551564416,0.397490170700506,"Barrier reef","West","Moderate","Rubble and corals","Rubble","None",0.62860988197769,3,3.9,1,-0.500917276089856,"40_SOCBOR1_1",40,75,18,57,0.2399
"62","Bora_1",40,10,0,-16.5031,-151.7907,29.33,5.33,0,0,-0.379238610612666,-0.241161965794852,0.169706125945572,-1.05359703457364,0.411401551564416,0.397490170700506,"Barrier reef","West","Moderate","Rubble and corals","Rubble","None",0.62860988197769,3,3.9,1,-0.500917276089856,"40_SOCBOR1_10",40,75,0,75,1e-04
"63","Bora_1",40,11,0,-16.5031,-151.7907,25.33,1.33,0,0,-0.379238610612666,-0.241161965794852,0.169706125945572,-1.05359703457364,0.411401551564416,0.397490170700506,"Barrier reef","West","Moderate","Rubble and corals","Rubble","None",0.62860988197769,3,3.9,1,-0.500917276089856,"40_SOCBOR1_11",40,75,0,75,1e-04
"64","Bora_1",40,12,0,-16.5031,-151.7907,34.66,0,0,0,-0.379238610612666,-0.241161965794852,0.169706125945572,-1.05359703457364,0.411401551564416,0.397490170700506,"Barrier reef","West","Moderate","Rubble and corals","Rubble","None",0.62860988197769,3,3.9,1,-0.500917276089856,"40_SOCBOR1_12",40,75,0,75,1e-04
